rosbagTimestamp,layout,dim,data_offset,data
1626632321702150316,,[],0,"[-131, 0, -3]"
1626632321757080411,,[],0,"[-131, 0, -4]"
1626632321807597469,,[],0,"[-131, 0, -4]"
1626632321856864476,,[],0,"[-131, 0, -4]"
1626632321907241518,,[],0,"[-131, 0, -4]"
1626632321961759415,,[],0,"[-131, 0, -3]"
1626632322007062612,,[],0,"[-131, 0, -3]"
1626632322062379745,,[],0,"[-131, 0, -3]"
1626632322118644258,,[],0,"[-131, 0, -3]"
1626632322167337569,,[],0,"[-131, 0, -3]"
1626632322219207491,,[],0,"[-131, 0, -3]"
1626632322266877753,,[],0,"[-130, 0, -3]"
1626632322318477461,,[],0,"[-130, 0, -3]"
1626632322377515181,,[],0,"[-130, 0, -3]"
1626632322419130259,,[],0,"[-130, 0, -3]"
1626632322469294597,,[],0,"[-130, 0, -3]"
1626632322519133112,,[],0,"[-131, 0, -3]"
1626632322571178824,,[],0,"[-131, 0, -3]"
1626632322618919758,,[],0,"[-131, 0, -3]"
1626632322673042895,,[],0,"[-131, 0, -3]"
1626632322721398699,,[],0,"[-131, 0, -3]"
1626632322775206556,,[],0,"[-131, 0, -3]"
1626632322818856310,,[],0,"[-131, 0, -3]"
1626632322871172380,,[],0,"[-131, 0, -4]"
1626632322919186637,,[],0,"[-131, 0, -4]"
1626632322970233394,,[],0,"[-131, 0, -4]"
1626632323016092440,,[],0,"[-131, 0, -3]"
1626632323063268890,,[],0,"[-131, 0, -3]"
1626632323109991736,,[],0,"[-131, 0, -3]"
1626632323163197107,,[],0,"[-131, 0, -3]"
1626632323206382474,,[],0,"[-131, 0, -3]"
1626632323257735489,,[],0,"[-131, 0, -3]"
1626632323306263595,,[],0,"[-131, 0, -3]"
1626632323359238541,,[],0,"[-131, 0, -3]"
1626632323408836388,,[],0,"[-131, 0, -3]"
1626632323462549959,,[],0,"[-131, 0, -3]"
1626632323509197303,,[],0,"[-131, 0, -3]"
1626632323563327561,,[],0,"[-131, 0, -3]"
1626632323609878314,,[],0,"[-131, 0, -3]"
1626632323663492485,,[],0,"[-131, 0, -3]"
1626632323715289235,,[],0,"[-131, 0, -3]"
1626632323764185192,,[],0,"[-131, 0, -3]"
1626632323809559781,,[],0,"[-131, 0, -4]"
1626632323858904787,,[],0,"[-131, 0, -5]"
1626632323906245620,,[],0,"[-131, 0, -6]"
1626632323954272569,,[],0,"[-131, 0, -8]"
1626632324003295727,,[],0,"[-131, 0, -9]"
1626632324049184763,,[],0,"[-130, 0, -10]"
1626632324096869289,,[],0,"[-130, 0, -12]"
1626632324142168706,,[],0,"[-2177, 0, -12]"
1626632324194667589,,[],0,"[-129, 0, -13]"
1626632324243214065,,[],0,"[-129, 0, -12]"
1626632324289799850,,[],0,"[-129, 0, -11]"
1626632324339328501,,[],0,"[-129, -1, -9]"
1626632324391571052,,[],0,"[-130, -2, -8]"
1626632324435759131,,[],0,"[-130, -4, -7]"
1626632324485645481,,[],0,"[-131, -5, -6]"
1626632324534291748,,[],0,"[-132, -6, -5]"
1626632324582239894,,[],0,"[-132, -5, -4]"
1626632324630012703,,[],0,"[-133, -5, -4]"
1626632324685474740,,[],0,"[-133, -5, -3]"
1626632324739212516,,[],0,"[-134, -6, -3]"
1626632324787118089,,[],0,"[-134, -8, -2]"
1626632324846619678,,[],0,"[-134, -10, -1]"
1626632324886669748,,[],0,"[-134, -11, -1]"
1626632324936027571,,[],0,"[-134, -12, -1]"
1626632324985641831,,[],0,"[-133, -13, -2]"
1626632325035237082,,[],0,"[-132, -14, -3]"
1626632325084914453,,[],0,"[-131, -15, -3]"
1626632325136689488,,[],0,"[-130, -16, -3]"
1626632325181961955,,[],0,"[-129, -17, -3]"
1626632325227348250,,[],0,"[-128, -18, -2]"
1626632325278395346,,[],0,"[-127, -18, -1]"
1626632325335003225,,[],0,"[-127, -18, 0]"
1626632325378966145,,[],0,"[-127, -18, 0]"
1626632325428432910,,[],0,"[-129, -16, 7]"
1626632325478908731,,[],0,"[-132, -13, 20]"
1626632325526680861,,[],0,"[-135, -11, 38]"
1626632325578186865,,[],0,"[-140, -9, 57]"
1626632325626504776,,[],0,"[-144, -1, 72]"
1626632325674937038,,[],0,"[-150, 3, 84]"
1626632325728518872,,[],0,"[-158, 128, 81]"
1626632325779490035,,[],0,"[-165, 136, 73]"
1626632325830890914,,[],0,"[-167, 98, 75]"
1626632325878777618,,[],0,"[-165, 44, 68]"
1626632325930745575,,[],0,"[-164, 33, 50]"
1626632325978247925,,[],0,"[-165, 34, 21]"
