rosbagTimestamp,layout,dim,data_offset,data
1626632671688334982,,[],0,"[0, 0, 0]"
1626632671708483240,,[],0,"[0, 0, 0]"
1626632671728085126,,[],0,"[0, 0, 0]"
1626632671748127567,,[],0,"[0, 0, 0]"
1626632671768274837,,[],0,"[0, 0, 0]"
1626632671788267584,,[],0,"[0, 0, 0]"
1626632671808461504,,[],0,"[0, 0, 0]"
1626632671829034292,,[],0,"[0, 0, 0]"
1626632671848526515,,[],0,"[0, 0, 0]"
1626632671868323934,,[],0,"[0, 0, 0]"
1626632671888224000,,[],0,"[0, 0, 0]"
1626632671908315121,,[],0,"[0, 0, 0]"
1626632671928479761,,[],0,"[0, 0, 0]"
1626632671948228979,,[],0,"[0, 0, 0]"
1626632671968302344,,[],0,"[0, 0, 0]"
1626632671988079412,,[],0,"[0, 0, 0]"
1626632672007694023,,[],0,"[0, 0, 0]"
1626632672027719662,,[],0,"[0, 0, 0]"
1626632672048313313,,[],0,"[0, 0, 0]"
1626632672068076877,,[],0,"[0, 0, 0]"
1626632672088697092,,[],0,"[0, 0, 0]"
1626632672108417469,,[],0,"[0, 0, 0]"
1626632672128173480,,[],0,"[0, 0, 0]"
1626632672148119824,,[],0,"[0, 0, 0]"
1626632672168283275,,[],0,"[0, 0, 0]"
1626632672188191072,,[],0,"[0, 0, 0]"
1626632672208735706,,[],0,"[0, 0, 0]"
1626632672228465700,,[],0,"[0, 0, 0]"
1626632672248289111,,[],0,"[0, 0, 0]"
1626632672268403588,,[],0,"[0, 0, 0]"
1626632672288378518,,[],0,"[0, 0, 0]"
1626632672308327048,,[],0,"[0, 0, 0]"
1626632672328515761,,[],0,"[0, 0, 0]"
1626632672348434850,,[],0,"[0, 0, 0]"
1626632672368138123,,[],0,"[0, 0, 0]"
1626632672388315112,,[],0,"[0, 0, 0]"
1626632672408732159,,[],0,"[0, 0, 0]"
1626632672428689332,,[],0,"[0, 0, 0]"
1626632672448333003,,[],0,"[0, 0, 0]"
1626632672468172273,,[],0,"[0, 0, 0]"
1626632672488468683,,[],0,"[0, 0, 0]"
1626632672508661985,,[],0,"[0, 0, 0]"
1626632672528362769,,[],0,"[0, 0, 0]"
1626632672548282917,,[],0,"[0, 0, 0]"
1626632672568575053,,[],0,"[0, 0, 0]"
1626632672588450311,,[],0,"[0, 0, 0]"
1626632672608578404,,[],0,"[0, 0, 0]"
1626632672628461531,,[],0,"[0, 0, 0]"
1626632672648189004,,[],0,"[0, 0, 0]"
1626632672668790884,,[],0,"[0, 0, 0]"
1626632672688370046,,[],0,"[0, 0, 0]"
1626632672708538911,,[],0,"[0, 0, 0]"
1626632672728290544,,[],0,"[0, 0, 0]"
1626632672748557691,,[],0,"[0, 0, 0]"
1626632672768254615,,[],0,"[0, 0, 0]"
1626632672788254773,,[],0,"[0, 0, 0]"
1626632672808500043,,[],0,"[0, 0, 0]"
1626632672828242532,,[],0,"[0, 0, 0]"
1626632672848603818,,[],0,"[0, 0, 0]"
1626632672868144331,,[],0,"[0, 0, 0]"
1626632672888419679,,[],0,"[0, 0, 0]"
1626632672908190109,,[],0,"[0, 0, 0]"
1626632672928430742,,[],0,"[0, 0, 0]"
1626632672948474518,,[],0,"[0, 0, 0]"
1626632672968256602,,[],0,"[0, 0, 0]"
1626632672989220145,,[],0,"[0, 0, 0]"
1626632673008562128,,[],0,"[0, 0, 0]"
1626632673028471290,,[],0,"[0, 0, 0]"
1626632673048352079,,[],0,"[0, 0, 0]"
1626632673068671625,,[],0,"[0, 0, 0]"
1626632673088414571,,[],0,"[0, 0, 0]"
1626632673108280480,,[],0,"[0, 0, 0]"
1626632673128564765,,[],0,"[0, 0, 0]"
1626632673148441179,,[],0,"[0, 0, 0]"
1626632673168778636,,[],0,"[0, 0, 0]"
1626632673188260179,,[],0,"[0, 0, 0]"
1626632673208500066,,[],0,"[0, 0, 0]"
1626632673228100415,,[],0,"[0, 0, 0]"
1626632673248238010,,[],0,"[0, 0, 0]"
1626632673268350365,,[],0,"[0, 0, 0]"
1626632673288374754,,[],0,"[0, 0, 0]"
1626632673308334854,,[],0,"[0, 0, 0]"
1626632673328140182,,[],0,"[0, 0, 0]"
1626632673348418884,,[],0,"[0, 0, 0]"
1626632673368327889,,[],0,"[0, 0, 0]"
1626632673388519252,,[],0,"[0, 0, 0]"
1626632673408361928,,[],0,"[0, 0, 0]"
1626632673428432524,,[],0,"[0, 0, 0]"
1626632673448405774,,[],0,"[0, 0, 0]"
1626632673468213976,,[],0,"[0, 0, 0]"
1626632673488426600,,[],0,"[0, 0, 0]"
1626632673508530738,,[],0,"[0, 0, 0]"
1626632673528329453,,[],0,"[0, 0, 0]"
1626632673548291040,,[],0,"[0, 0, 0]"
1626632673568206395,,[],0,"[0, 0, 0]"
1626632673588289695,,[],0,"[0, 0, 0]"
1626632673608373788,,[],0,"[0, 0, 0]"
1626632673628306938,,[],0,"[0, 0, 0]"
1626632673648504998,,[],0,"[0, 0, 0]"
1626632673668390614,,[],0,"[0, 0, 0]"
1626632673688496523,,[],0,"[0, 0, 0]"
1626632673708431547,,[],0,"[0, 0, 0]"
1626632673728271101,,[],0,"[0, 0, 0]"
1626632673748954093,,[],0,"[0, 0, 0]"
1626632673768368969,,[],0,"[0, 0, 0]"
1626632673788247957,,[],0,"[0, 0, 0]"
1626632673808445666,,[],0,"[0, 0, 0]"
1626632673828234687,,[],0,"[0, 0, 0]"
1626632673848509809,,[],0,"[0, 0, 0]"
1626632673868594518,,[],0,"[0, 0, 0]"
1626632673888033055,,[],0,"[0, 0, 0]"
1626632673908612820,,[],0,"[0, 0, 0]"
1626632673928386320,,[],0,"[0, 0, 0]"
1626632673948296643,,[],0,"[0, 0, 0]"
1626632673968268860,,[],0,"[0, 0, 0]"
1626632673988379431,,[],0,"[0, 0, 0]"
1626632674008182405,,[],0,"[0, 0, 0]"
1626632674028708316,,[],0,"[0, 0, 0]"
1626632674048516743,,[],0,"[0, 0, 0]"
1626632674068343631,,[],0,"[0, 0, 0]"
1626632674088121552,,[],0,"[0, 0, 0]"
1626632674109212318,,[],0,"[0, 0, 0]"
1626632674128400089,,[],0,"[0, 0, 0]"
1626632674148140939,,[],0,"[0, 0, 0]"
1626632674168263652,,[],0,"[0, 0, 0]"
1626632674188859836,,[],0,"[0, 0, 0]"
1626632674208081982,,[],0,"[0, 0, 0]"
1626632674228104591,,[],0,"[0, 0, 0]"
1626632674248534888,,[],0,"[0, 0, 0]"
1626632674268614335,,[],0,"[0, 0, 0]"
1626632674288390326,,[],0,"[0, 0, 0]"
1626632674308643961,,[],0,"[0, 0, 0]"
1626632674328383049,,[],0,"[0, 0, 0]"
1626632674348302852,,[],0,"[0, 0, 0]"
1626632674368429286,,[],0,"[0, 0, 0]"
