time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2022/07/14/06:26:34.203424,36348,1657747594,203116014,leptrino,0.467383333333331,0.15730000000001107,0.25889999999989755,-0.14160866666666294,0.0255206666667184,0.01990400000000318
2022/07/14/06:26:34.203479,36349,1657747594,203156490,leptrino,0.567383333333331,0.35730000000001105,0.10889999999989755,-0.14960866666666295,0.0295206666667184,0.02190400000000318
2022/07/14/06:26:34.205546,36350,1657747594,205198894,leptrino,0.667383333333331,0.35730000000001105,0.15889999999989757,-0.14160866666666294,0.0255206666667184,0.01990400000000318
2022/07/14/06:26:34.205599,36352,1657747594,205250373,leptrino,0.417383333333331,0.15730000000001107,0.10889999999989755,-0.13160866666666293,0.0255206666667184,0.02190400000000318
2022/07/14/06:26:34.207372,36353,1657747594,207082071,leptrino,0.36738333333333095,0.20730000000001106,0.20889999999989756,-0.12560866666666295,0.0275206666667184,0.02190400000000318
2022/07/14/06:26:34.207427,36354,1657747594,207117645,leptrino,0.417383333333331,0.35730000000001105,0.008899999999897545,-0.12960866666666293,0.0255206666667184,0.01990400000000318
2022/07/14/06:26:34.209522,36355,1657747594,209134494,leptrino,0.467383333333331,0.20730000000001106,0.20889999999989756,-0.12760866666666296,0.0215206666667184,0.01790400000000318
2022/07/14/06:26:34.209570,36356,1657747594,209171647,leptrino,0.417383333333331,0.2573000000000111,0.10889999999989755,-0.12560866666666295,0.0215206666667184,0.01990400000000318
2022/07/14/06:26:34.211655,36357,1657747594,211166830,leptrino,0.31738333333333096,0.15730000000001107,0.008899999999897545,-0.12360866666666294,0.0235206666667184,0.01990400000000318
2022/07/14/06:26:34.211711,36359,1657747594,211214306,leptrino,0.467383333333331,0.15730000000001107,0.008899999999897545,-0.11960866666666295,0.0275206666667184,0.01590400000000318
2022/07/14/06:26:34.213458,36360,1657747594,213129368,leptrino,0.667383333333331,0.007300000000011054,0.008899999999897545,-0.11960866666666295,0.0255206666667184,0.01790400000000318
2022/07/14/06:26:34.213491,36361,1657747594,213162108,leptrino,0.467383333333331,0.10730000000001105,0.15889999999989757,-0.11760866666666295,0.0215206666667184,0.01990400000000318
2022/07/14/06:26:34.215561,36362,1657747594,215189184,leptrino,0.467383333333331,0.10730000000001105,0.10889999999989755,-0.11560866666666295,0.0235206666667184,0.01990400000000318
2022/07/14/06:26:34.215605,36364,1657747594,215236820,leptrino,0.467383333333331,0.05730000000001106,0.008899999999897545,-0.10760866666666294,0.0235206666667184,0.01990400000000318
