%time,field.layout.data_offset,field.data0,field.data1,field.data2
1626632273248764219,0,0,0,0
1626632273268363857,0,0,0,0
1626632273288499326,0,0,0,0
1626632273308559513,0,0,0,0
1626632273328405197,0,0,0,0
1626632273348334963,0,0,0,0
1626632273368443741,0,0,0,0
1626632273388145448,0,0,0,0
1626632273408374219,0,0,0,0
1626632273428401207,0,0,0,0
1626632273448551453,0,0,0,0
1626632273468582807,0,0,0,0
1626632273488440068,0,0,0,0
1626632273508065125,0,0,0,0
1626632273528178817,0,0,0,0
1626632273548410801,0,0,0,0
1626632273567955708,0,0,0,0
1626632273587806508,0,0,0,0
1626632273607834135,0,0,0,0
1626632273627901945,0,0,0,0
1626632273648098226,0,0,0,0
1626632273668274487,0,0,0,0
1626632273688241472,0,0,0,0
1626632273708238044,0,0,0,0
1626632273728388380,0,0,0,0
1626632273748435233,0,0,0,0
1626632273768066318,0,0,0,0
1626632273788296191,0,0,0,0
1626632273808440302,0,0,0,0
1626632273828402765,0,0,0,0
1626632273848504706,0,0,0,0
1626632273868254004,0,0,0,0
1626632273888425110,0,0,0,0
1626632273908649243,0,0,0,0
1626632273928245298,0,0,0,0
1626632273948057382,0,0,0,0
1626632273968429937,0,0,0,0
1626632273988543074,0,0,0,0
1626632274008275009,0,0,0,0
1626632274028107076,0,0,0,0
1626632274048220132,0,0,0,0
1626632274068592182,0,0,0,0
1626632274088356886,0,0,0,0
1626632274108324569,0,0,0,0
1626632274128257297,0,0,0,0
1626632274148128447,0,0,0,0
1626632274168536248,0,0,0,0
1626632274188231453,0,0,0,0
1626632274208374478,0,0,0,0
1626632274228513434,0,0,0,0
1626632274248029685,0,0,0,0
1626632274268183256,0,0,0,0
1626632274288283267,0,0,0,0
1626632274308566060,0,0,0,0
1626632274328436474,0,0,0,0
1626632274348856728,0,0,0,0
1626632274368461783,0,0,0,0
1626632274388721241,0,0,0,0
1626632274408140433,0,0,0,0
1626632274428270000,0,0,0,0
1626632274448524602,0,0,0,0
1626632274468119745,0,0,0,0
1626632274489021717,0,0,0,0
1626632274508279652,0,0,0,0
1626632274528240628,0,0,0,0
1626632274548183178,0,0,0,0
1626632274568384760,0,0,0,0
1626632274588222935,0,0,0,0
1626632274608123272,0,0,0,0
1626632274628079214,0,0,0,0
1626632274648719804,0,0,0,0
1626632274668296966,0,0,0,0
1626632274688592495,0,0,0,0
1626632274708623646,0,0,0,0
1626632274728312339,0,0,0,0
1626632274749069731,0,0,0,0
1626632274768456970,0,0,0,0
1626632274788400731,0,0,0,0
1626632274808665666,0,0,0,0
1626632274828503022,0,0,0,0
1626632274848469895,0,0,0,0
1626632274868852558,0,0,0,0
1626632274888207070,0,0,0,0
1626632274908541745,0,0,0,0
1626632274928467789,0,0,0,0
1626632274948332556,0,0,0,0
1626632274968542210,0,0,0,0
1626632274988459974,0,0,0,0
1626632275008656768,0,0,0,0
1626632275028290086,0,0,0,0
1626632275048500074,0,0,0,0
1626632275068264232,0,0,0,0
1626632275088605916,0,0,0,0
1626632275108368325,0,0,0,0
1626632275128375394,0,0,0,0
1626632275148472388,0,0,0,0
1626632275168466402,0,0,0,0
1626632275188312049,0,0,0,0
1626632275208410664,0,0,0,0
1626632275228189401,0,0,0,0
1626632275248428088,0,0,0,0
1626632275268449332,0,0,0,0
1626632275288288323,0,0,0,0
1626632275308384665,0,0,0,0
1626632275328127520,0,0,0,0
1626632275348455346,0,0,0,0
1626632275368614341,0,0,0,0
1626632275388222319,0,0,0,0
1626632275408496521,0,0,0,0
1626632275428350177,0,0,0,0
1626632275448840724,0,0,0,0
1626632275468283772,0,0,0,0
1626632275488599381,0,0,0,0
1626632275508244172,0,0,0,0
1626632275528247100,0,0,0,0
1626632275548692422,0,0,0,0
1626632275568422006,0,0,0,0
1626632275588374104,0,0,0,0
1626632275608547029,0,0,0,0
1626632275628266334,0,0,0,0
1626632275648451744,0,0,0,0
1626632275668404965,0,0,0,0
1626632275688366382,0,0,0,0
1626632275708410449,0,0,0,0
1626632275728455892,0,0,0,0
1626632275748458476,0,0,0,0
1626632275768532714,0,0,0,0
1626632275788289060,0,0,0,0
1626632275808663952,0,0,0,0
1626632275828421939,0,0,0,0
1626632275848632078,0,0,0,0
1626632275868854455,0,0,0,0
1626632275888219342,0,0,0,0
1626632275908469178,0,0,0,0
1626632275928257091,0,0,0,0
1626632275948340187,0,0,0,0
1626632275968280691,0,0,0,0
1626632275988324128,0,0,0,0
1626632276008447979,0,0,0,0
1626632276028223341,0,0,0,0
1626632276048255259,0,0,0,0
1626632276068330771,0,0,0,0
1626632276088427486,0,0,0,0
1626632276108245480,0,0,0,0
1626632276128267176,0,0,0,0
1626632276148832854,0,0,0,0
1626632276168742075,0,0,0,0
1626632276188321431,0,0,0,0
1626632276208400928,0,0,0,0
1626632276228218306,0,0,0,0
1626632276248457442,0,0,0,0
1626632276268602722,0,0,0,0
1626632276288430254,0,0,0,0
1626632276308154048,0,0,0,0
1626632276328473890,0,0,0,0
1626632276348421669,0,0,0,0
1626632276368345191,0,0,0,0
1626632276388502118,0,0,0,0
1626632276408348276,0,0,0,0
1626632276428149154,0,0,0,0
1626632276448208881,0,0,0,0
1626632276468222609,0,0,0,0
1626632276488268845,0,0,0,0
1626632276508317861,0,0,0,0
1626632276528048702,0,0,0,0
1626632276548517918,0,0,0,0
1626632276568608784,0,0,0,0
1626632276588312932,0,0,0,0
1626632276608215183,0,0,0,0
1626632276628171019,0,0,0,0
1626632276648291581,0,0,0,0
1626632276668475137,0,0,0,0
1626632276688415733,0,0,0,0
1626632276708166281,0,0,0,0
1626632276728376110,0,0,0,0
1626632276748525693,0,0,0,0
1626632276768577271,0,0,0,0
1626632276788533502,0,0,0,0
1626632276808223257,0,0,0,0
1626632276828492110,0,0,0,0
1626632276848294608,0,0,0,0
1626632276868330965,0,0,0,0
1626632276888413869,0,0,0,0
1626632276908571274,0,0,0,0
1626632276928256940,0,0,0,0
1626632276948317904,0,0,0,0
1626632276968401689,0,0,0,0
1626632276988575388,0,0,0,0
1626632277008243978,0,0,0,0
1626632277028307111,0,0,0,0
1626632277048186334,0,0,0,0
1626632277068318313,0,0,23,0
1626632277088321832,0,0,99,0
1626632277108330551,0,0,99,0
1626632277128264626,0,0,99,0
1626632277148406708,0,0,99,0
1626632277168400221,0,0,99,0
1626632277188119087,0,0,99,0
1626632277208330517,0,0,99,0
1626632277228226606,0,0,99,0
1626632277248033947,0,0,99,0
1626632277268542418,0,0,99,0
1626632277288371451,0,0,99,0
1626632277308479612,0,0,99,0
1626632277328282147,0,0,99,0
1626632277348387579,0,0,99,0
1626632277368512988,0,0,99,0
1626632277388389598,0,0,99,0
1626632277408288878,0,0,99,0
1626632277428434709,0,0,99,0
1626632277448128998,0,0,99,0
1626632277467900633,0,0,99,0
1626632277487745954,0,0,99,0
1626632277508181317,0,0,99,0
1626632277528237388,0,0,99,0
1626632277548387032,0,0,99,0
1626632277568383170,0,0,99,0
1626632277588540703,0,0,99,0
1626632277608216990,0,0,99,0
1626632277628329735,0,0,99,0
1626632277648205139,0,0,99,0
1626632277668181969,0,0,99,0
1626632277688567621,0,0,99,0
1626632277708320380,0,0,99,0
1626632277728075936,0,0,99,0
1626632277748387914,0,0,99,0
1626632277768619046,0,0,99,0
1626632277788294913,0,0,99,0
1626632277808156544,0,0,99,0
1626632277827997348,0,0,99,0
1626632277848202806,0,0,99,0
1626632277868568014,0,0,99,0
1626632277888343158,0,0,99,0
1626632277908521432,0,0,99,0
1626632277928250484,0,0,99,0
1626632277948706024,0,0,99,0
1626632277968963008,0,0,99,0
1626632277988546971,0,0,99,0
1626632278008203285,0,0,99,0
1626632278028239372,0,0,99,0
1626632278048301402,0,0,99,0
1626632278068327706,0,0,99,0
1626632278088355949,0,0,99,0
1626632278108219746,0,0,99,0
1626632278128688312,0,0,99,0
1626632278148135116,0,0,99,0
1626632278168584326,0,0,99,0
1626632278188417208,0,0,99,0
1626632278208209733,0,0,99,0
1626632278228218504,0,0,99,0
1626632278248057612,0,0,99,0
1626632278268474531,0,0,99,0
1626632278288691484,0,0,99,0
1626632278308818889,0,0,99,0
1626632278328337216,0,0,99,0
1626632278348456707,0,0,99,0
1626632278368106504,0,0,99,0
1626632278388460196,0,0,99,0
1626632278408350758,0,0,99,0
1626632278428414684,0,0,99,0
1626632278448360760,0,0,99,0
1626632278468178638,0,0,99,0
1626632278488314456,0,0,99,0
1626632278508644578,0,0,99,0
1626632278528724896,0,0,99,0
1626632278548894558,0,0,99,0
1626632278568409640,0,0,99,0
1626632278588712949,0,0,99,0
1626632278608282991,0,0,99,0
1626632278628449908,0,0,99,0
1626632278648209337,0,0,99,0
1626632278668599356,0,0,99,0
1626632278688404799,0,0,99,0
1626632278708145752,0,0,99,0
1626632278728484551,0,0,99,0
1626632278748759620,0,0,99,0
1626632278768393808,0,0,99,0
1626632278788316017,0,0,99,0
1626632278808563508,0,0,99,0
1626632278828544443,0,0,99,0
1626632278848581815,0,0,99,0
1626632278868422487,0,0,99,0
1626632278888392904,0,0,99,0
1626632278908510903,0,0,99,0
1626632278928252786,0,0,99,0
1626632278948343933,0,0,99,0
1626632278968376473,0,0,99,0
1626632278988370288,0,0,99,0
1626632279008381004,0,0,99,0
1626632279028200849,0,0,99,0
1626632279048582104,0,0,99,0
1626632279068153573,0,0,99,0
1626632279088198004,0,0,99,0
1626632279108307276,0,0,99,0
1626632279128548499,0,0,99,0
1626632279148563303,0,0,99,0
1626632279168492168,0,0,99,0
1626632279188176949,0,0,99,0
1626632279208227053,0,0,99,0
1626632279228364194,0,0,99,0
1626632279248056596,0,0,99,0
1626632279268395464,0,0,99,0
1626632279288493939,0,0,99,0
1626632279308126674,0,0,99,0
1626632279328430512,0,0,99,0
1626632279348452464,0,0,99,0
1626632279368412304,0,0,99,0
1626632279388460111,0,0,99,0
1626632279408270564,0,0,99,0
1626632279429009934,0,0,99,0
1626632279448390654,0,0,99,0
1626632279467979233,0,0,99,0
1626632279488688713,0,0,99,0
1626632279508736349,0,0,99,0
1626632279528357877,0,0,99,0
