%time,field.layout.data_offset,field.data0,field.data1,field.data2
1629697316450788694,0,0.05,-0.02,-0.01
1629697316480796652,0,0.04,0.0,-0.02
1629697316514600577,0,0.07,-0.11,-0.05
1629697316549655456,0,0.03,-0.03,0.02
1629697316582107782,0,0.0,0.04,0.06
1629697316614617088,0,0.0,-0.05,0.09
1629697316647566753,0,0.05,0.0,0.06
1629697316680650285,0,0.07,0.0,0.1
1629697316718256586,0,0.02,0.02,0.06
1629697316748095208,0,0.03,0.0,0.02
1629697316779288593,0,0.02,0.09,0.0
1629697316812012786,0,0.04,-0.1,-0.03
1629697316844060238,0,-0.03,-0.08,0.0
1629697316873850148,0,-0.02,0.0,-0.03
1629697316909206900,0,0.0,-0.01,-0.01
1629697316938207524,0,0.0,-0.09,0.03
1629697316969476296,0,0.01,-0.03,0.0
1629697317003994040,0,0.04,0.04,0.03
1629697317037992636,0,0.01,-0.01,0.1
1629697317083308920,0,-0.01,-0.07,0.06
1629697317103833409,0,0.01,-0.03,0.07
1629697317134488386,0,-0.03,-0.04,0.05
1629697317173340856,0,0.01,-0.12,0.0
1629697317206538548,0,0.01,-0.06,-0.04
1629697317239659719,0,-0.04,-0.03,-0.03
1629697317270044612,0,-0.06,-0.11,0.0
1629697317304081257,0,-0.05,-0.17,0.0
1629697317333779241,0,-0.06,-0.18,0.27
1629697317365783816,0,-0.17,0.03,0.28
1629697317399772527,0,-0.04,0.02,0.04
1629697317431343849,0,0.07,-0.07,0.05
1629697317464531191,0,-0.09,0.15,0.0
1629697317498835806,0,-0.2,0.24,0.0
1629697317531424235,0,-0.15,0.53,-0.01
1629697317562754075,0,0.1,0.05,-0.13
1629697317600058414,0,0.03,0.02,0.02
1629697317630425199,0,-0.32,0.41,0.06
1629697317663567571,0,-0.18,-0.02,-0.13
1629697317698139305,0,-0.16,0.06,-0.05
1629697317729519692,0,-0.35,0.25,0.28
1629697317765408129,0,-0.27,0.22,0.06
1629697317795900745,0,-0.22,0.27,0.0
1629697317826862907,0,-0.17,0.72,-0.06
1629697317860868967,0,0.08,0.52,-0.37
1629697317892083698,0,-0.14,0.34,-0.14
1629697317925104505,0,-0.33,0.56,0.03
1629697317959934017,0,-0.16,0.38,-0.2
1629697317991853117,0,-0.22,0.78,0.07
1629697318026006402,0,-0.24,0.55,0.16
1629697318059046741,0,-0.03,0.4,0.1
1629697318091743616,0,-0.26,0.82,0.4
1629697318123558482,0,-0.21,1.04,0.5
1629697318158092220,0,-0.33,1.15,0.36
1629697318194247006,0,-0.64,1.09,0.5
1629697318226041881,0,-0.32,0.99,0.0
1629697318260022356,0,-0.2,0.69,-0.22
1629697318292270721,0,-0.31,0.6,-0.07
1629697318326571973,0,-0.23,0.59,-0.14
1629697318361825834,0,-0.03,0.26,0.2
1629697318394989032,0,-0.02,0.31,0.09
1629697318430421968,0,0.38,0.34,-0.07
1629697318462023633,0,0.73,-0.07,0.37
1629697318495507362,0,0.0,-0.11,0.33
1629697318532043654,0,-0.09,-0.01,-0.18
1629697318561639284,0,0.72,-0.11,-0.36
1629697318595524524,0,0.71,-0.42,-0.18
1629697318625793068,0,0.66,-0.43,-0.14
1629697318660018219,0,0.72,-0.29,-0.33
1629697318694729788,0,0.72,-0.29,-0.22
1629697318725973573,0,0.82,-0.59,0.08
1629697318761814965,0,0.89,-0.39,0.21
1629697318793921960,0,0.55,-0.16,-0.05
1629697318827600364,0,0.68,-0.26,0.05
1629697318861591864,0,0.58,-0.43,0.12
1629697318893273443,0,0.32,-0.24,-0.15
1629697318928003938,0,0.13,0.03,-0.23
1629697318963330646,0,0.23,0.24,-0.23
1629697318996056606,0,0.53,0.23,-0.27
1629697319027322278,0,0.68,0.38,-0.44
1629697319059871053,0,0.71,0.48,-0.41
1629697319090482712,0,0.71,0.14,-0.06
1629697319123310087,0,0.58,0.31,0.27
1629697319157269653,0,0.31,0.78,0.34
1629697319189586547,0,0.12,1.11,0.54
1629697319222472552,0,0.3,1.41,0.5
1629697319254758073,0,-0.25,1.21,0.66
1629697319286388430,0,-0.81,1.19,0.9
1629697319320244679,0,-0.85,1.25,0.6
1629697319357596391,0,-1.07,1.23,0.21
1629697319384949460,0,-0.84,1.14,0.01
