rosbagTimestamp,layout,dim,data_offset,data
1629697513520669359,,[],0,"[-0.13, 0.05, -0.34]"
1629697513557809972,,[],0,"[-0.07, 0.06, -0.39]"
1629697513589377670,,[],0,"[-0.1, 0.04, -0.4]"
1629697513621617191,,[],0,"[-0.09, 0.03, -0.3]"
1629697513655663601,,[],0,"[-0.07, -0.01, -0.35000000000000003]"
1629697513689521174,,[],0,"[-0.12, 0.0, -0.39]"
1629697513721156790,,[],0,"[-0.16, 0.0, -0.4]"
1629697513756561350,,[],0,"[-0.18, 0.0, -0.38]"
1629697513794316064,,[],0,"[-0.11, -0.05, -0.37]"
1629697513821328537,,[],0,"[-0.16, 0.04, -0.42]"
1629697513855034264,,[],0,"[-0.23, 0.05, -0.38]"
1629697513889176496,,[],0,"[-0.16, -0.04, -0.36]"
1629697513919851498,,[],0,"[-0.12, 0.05, -0.39]"
1629697513954234404,,[],0,"[-0.1, 0.07, -0.35000000000000003]"
1629697513987169632,,[],0,"[-0.03, 0.03, -0.35000000000000003]"
1629697514017992355,,[],0,"[-0.04, 0.07, -0.36]"
1629697514052250409,,[],0,"[-0.04, 0.12, -0.39]"
1629697514084242181,,[],0,"[-0.03, 0.11, -0.4]"
1629697514117507756,,[],0,"[0.0, 0.07, -0.39]"
1629697514149388563,,[],0,"[0.0, 0.07, -0.35000000000000003]"
1629697514182787488,,[],0,"[-0.14, 0.19, -0.35000000000000003]"
1629697514214910001,,[],0,"[-0.18, 0.07, -0.35000000000000003]"
1629697514250417986,,[],0,"[-0.06, -0.04, -0.35000000000000003]"
1629697514283069755,,[],0,"[-0.15, 0.09, -0.39]"
1629697514313692483,,[],0,"[-0.12, 0.1, -0.3]"
1629697514347277005,,[],0,"[-0.12, 0.13, -0.38]"
1629697514378371306,,[],0,"[0.02, 0.18, -0.23]"
1629697514409905096,,[],0,"[0.09, 0.51, -0.41000000000000003]"
1629697514444756070,,[],0,"[0.23, 0.29, -0.44]"
1629697514474606090,,[],0,"[0.22, 0.44, -0.46]"
1629697514511242517,,[],0,"[0.18, 0.46, -0.52]"
1629697514544976610,,[],0,"[0.19, 0.18, -0.47000000000000003]"
1629697514575019264,,[],0,"[0.1, 0.24, -0.45]"
1629697514608641372,,[],0,"[0.06, 0.37, -0.48]"
1629697514641758901,,[],0,"[0.07, 0.29, -0.59]"
1629697514673238348,,[],0,"[0.1, 0.08, -0.5700000000000001]"
1629697514706155098,,[],0,"[0.19, 0.1, -0.5]"
1629697514738699354,,[],0,"[0.12, 0.16, -0.47000000000000003]"
1629697514771250817,,[],0,"[0.0, 0.32, -0.45]"
1629697514805102464,,[],0,"[-0.03, 0.44, -0.33]"
1629697514837629960,,[],0,"[0.01, 0.53, -0.38]"
1629697514868502605,,[],0,"[0.07, 0.58, -0.44]"
1629697514901023908,,[],0,"[0.19, 0.46, -0.49]"
1629697514932582197,,[],0,"[0.4, 0.41000000000000003, -0.49]"
1629697514965520440,,[],0,"[0.58, 0.32, -0.37]"
1629697514996921682,,[],0,"[0.75, 0.29, -0.39]"
1629697515027773521,,[],0,"[0.72, 0.41000000000000003, -0.42]"
1629697515061129864,,[],0,"[0.58, 0.41000000000000003, -0.35000000000000003]"
1629697515095498132,,[],0,"[0.65, 0.27, -0.36]"
1629697515125785850,,[],0,"[0.61, 0.34, -0.24]"
1629697515157023981,,[],0,"[0.39, 0.42, -0.25]"
1629697515189756961,,[],0,"[0.22, 0.62, -0.36]"
1629697515221668003,,[],0,"[0.19, 0.71, -0.33]"
1629697515253867829,,[],0,"[0.33, 0.49, -0.2]"
1629697515285034676,,[],0,"[0.44, 0.63, -0.46]"
1629697515317763806,,[],0,"[0.52, 0.25, -0.24]"
1629697515352055130,,[],0,"[0.49, -0.12, -0.07]"
1629697515385385213,,[],0,"[-0.21, -0.12, 0.02]"
1629697515417601538,,[],0,"[-0.84, 0.7000000000000001, -0.06]"
1629697515453915026,,[],0,"[-0.9500000000000001, 0.71, -0.07]"
1629697515484917601,,[],0,"[-0.9400000000000001, 0.01, -0.87]"
1629697515516237238,,[],0,"[-0.66, -0.43, -0.98]"
1629697515550409884,,[],0,"[-0.72, -0.13, -0.84]"
1629697515584928483,,[],0,"[-0.77, -0.25, -0.4]"
1629697515617599671,,[],0,"[-0.75, -0.35000000000000003, -0.22]"
1629697515651510609,,[],0,"[-0.86, -0.12, -0.13]"
1629697515683903096,,[],0,"[-0.98, -0.02, -0.08]"
1629697515751276207,,[],0,"[-0.79, -0.27, -0.2]"
1629697515753262172,,[],0,"[-0.52, -0.29, -0.6]"
1629697515782775382,,[],0,"[-0.38, -0.37, -0.62]"
1629697515814136195,,[],0,"[-0.08, -0.48, -0.78]"
1629697515852481265,,[],0,"[-0.04, -0.41000000000000003, -0.97]"
1629697515878298618,,[],0,"[0.0, -0.39, -0.88]"
1629697515913346511,,[],0,"[0.25, -0.39, -0.85]"
1629697515945547272,,[],0,"[0.41000000000000003, -0.35000000000000003, -0.93]"
1629697515977032170,,[],0,"[0.52, -0.59, -0.6900000000000001]"
1629697516010278253,,[],0,"[0.54, -0.61, -0.51]"
1629697516041471478,,[],0,"[0.4, -0.47000000000000003, -0.33]"
1629697516072428633,,[],0,"[0.29, -0.39, -0.26]"
1629697516105610181,,[],0,"[-0.14, -0.37, -0.26]"
1629697516138023794,,[],0,"[-0.3, -0.3, -0.03]"
1629697516170753482,,[],0,"[-0.33, -0.07, 0.08]"
1629697516205026739,,[],0,"[-0.35000000000000003, -0.12, 0.91]"
1629697516246216452,,[],0,"[-0.87, 0.59, 0.67]"
1629697516269316389,,[],0,"[-0.9500000000000001, 0.71, -0.26]"
1629697516302774584,,[],0,"[-0.75, -0.5, -0.2]"
1629697516334517669,,[],0,"[-0.62, -0.32, -0.24]"
1629697516367304998,,[],0,"[-0.64, 0.17, 0.02]"
1629697516401886997,,[],0,"[-0.48, -0.1, -0.16]"
1629697516435497467,,[],0,"[-0.22, -0.13, -1.09]"
1629697516468736627,,[],0,"[-0.13, -0.2, -1.42]"
1629697516500883758,,[],0,"[0.12, -0.38, -1.3900000000000001]"
1629697516562276382,,[],0,"[0.34, -0.38, -0.93]"
1629697516564729015,,[],0,"[0.19, 0.08, -0.79]"
1629697516596993249,,[],0,"[0.2, 0.46, -0.5700000000000001]"
1629697516631260326,,[],0,"[0.44, -0.08, -0.47000000000000003]"
1629697516663501948,,[],0,"[0.17, -0.11, -0.91]"
1629697516703303638,,[],0,"[-0.4, -0.09, -0.42]"
1629697516732291835,,[],0,"[-0.34, -0.26, 0.05]"
1629697516762326411,,[],0,"[-0.17, -0.55, 0.22]"
1629697516794465030,,[],0,"[-0.65, -0.68, 0.37]"
1629697516827013943,,[],0,"[-1.32, -0.2, -0.03]"
1629697516866419023,,[],0,"[-0.99, -0.65, -0.47000000000000003]"
1629697516896004383,,[],0,"[-0.4, -1.71, -0.05]"
1629697516997292411,,[],0,"[-0.58, -1.56, 0.09]"
1629697516999405682,,[],0,"[-0.73, -1.1, -0.14]"
1629697516999463448,,[],0,"[-0.79, -1.28, 0.0]"
1629697517021034895,,[],0,"[-1.33, -0.27, -1.08]"
1629697517055055731,,[],0,"[-0.92, -0.76, -1.09]"
1629697517090450685,,[],0,"[0.2, -1.69, -1.07]"
1629697517120519121,,[],0,"[0.0, -1.52, -1.08]"
1629697517156309155,,[],0,"[-0.27, -0.9500000000000001, -0.44]"
1629697517187255241,,[],0,"[0.04, -1.17, -0.08]"
1629697517218987374,,[],0,"[-0.21, -1.08, -0.34]"
1629697517252258100,,[],0,"[-0.71, -0.61, -0.18]"
1629697517283095032,,[],0,"[-0.46, -0.79, -0.21]"
1629697517318693809,,[],0,"[-0.14, -1.18, -0.1]"
1629697517352016695,,[],0,"[-0.41000000000000003, -1.07, 0.15]"
1629697517383030589,,[],0,"[-1.06, -0.84, 0.52]"
1629697517418414603,,[],0,"[-1.03, -0.25, -0.38]"
1629697517454152043,,[],0,"[-0.76, -1.16, -0.52]"
1629697517482274888,,[],0,"[-0.8200000000000001, -1.75, -0.06]"
1629697517524735650,,[],0,"[-0.91, -1.2, 0.14]"
1629697517547757229,,[],0,"[-1.1500000000000001, -0.71, -0.02]"
1629697517579854652,,[],0,"[-1.58, -0.61, -0.35000000000000003]"
1629697517614248365,,[],0,"[-1.23, -1.18, -0.74]"
