%time,field.layout.data_offset,field.data0,field.data1,field.data2
1626166676625062000,0,-100,2,2
1626166676674462000,0,-100,2,2
1626166676722972000,0,-100,2,2
1626166676776190000,0,-100,2,2
1626166676824617000,0,-100,2,2
1626166676873425000,0,-100,2,2
1626166676922717000,0,-100,2,2
1626166676974116000,0,-100,2,2
1626166677027083000,0,-100,2,2
1626166677073317000,0,-100,2,2
1626166677123582000,0,-100,2,2
1626166677171041000,0,-100,2,2
1626166677227111000,0,-100,2,2
1626166677274738000,0,-100,2,2
1626166677328069000,0,-100,2,2
1626166677376854000,0,-100,2,2
1626166677428137000,0,-100,2,2
1626166677476480000,0,-100,2,2
1626166677530255000,0,-100,2,2
1626166677576207000,0,-100,2,2
1626166677635482000,0,-100,2,2
1626166677682734000,0,-100,2,2
1626166677729848000,0,-100,2,2
1626166677783094000,0,-100,2,2
1626166677830351000,0,-100,2,2
1626166677887224000,0,-100,2,2
1626166677941218000,0,-100,2,2
1626166677989778000,0,-92,2,2
1626166678043343000,0,-100,2,2
1626166678089446000,0,-100,2,2
1626166678143781000,0,-100,2,2
1626166678193902000,0,-100,2,2
1626166678243242000,0,-100,2,2
1626166678289201000,0,-100,2,2
1626166678347438000,0,-100,2,2
1626166678401706000,0,-100,2,2
1626166678455761000,0,-100,1,2
1626166678508996000,0,-100,1,2
1626166678561688000,0,-100,1,2
1626166678610999000,0,-100,1,2
1626166678661217000,0,-100,1,2
1626166678714254000,0,-100,2,2
1626166678770113000,0,-100,2,2
1626166678821520000,0,-100,2,2
1626166678870704000,0,-100,2,2
1626166678922566000,0,-100,2,2
1626166678974431000,0,-100,2,2
1626166679023278000,0,-100,2,2
1626166679067776000,0,-100,2,2
1626166679123528000,0,-100,2,2
1626166679170785000,0,-100,2,2
1626166679229408000,0,-100,2,2
1626166679276154000,0,-100,2,2
1626166679326669000,0,-100,2,2
1626166679379146000,0,-100,2,2
1626166679430100000,0,-100,2,2
1626166679476352000,0,-100,2,2
1626166679533512000,0,-100,2,2
1626166679587679000,0,-100,2,2
1626166679642637000,0,-100,2,2
1626166679689745000,0,-100,2,2
1626166679739914000,0,-100,2,2
1626166679789439000,0,-100,2,2
1626166679837034000,0,-100,2,2
1626166679890055000,0,-100,2,2
1626166679943270000,0,-100,2,2
1626166679989845000,0,-100,2,2
1626166680047552000,0,-100,2,2
1626166680096498000,0,-100,2,2
1626166680146507000,0,-100,2,2
1626166680194423000,0,-100,2,2
1626166680250048000,0,-100,2,2
1626166680296455000,0,-100,2,2
1626166680343458000,0,-100,2,2
1626166680396396000,0,-100,2,2
1626166680445857000,0,-100,2,2
1626166680494541000,0,-100,2,2
1626166680543961000,0,-100,2,2
1626166680592321000,0,-100,2,2
1626166680646368000,0,-100,2,2
1626166680694607000,0,-100,2,2
1626166680746574000,0,-100,2,2
1626166680799568000,0,-100,2,2
1626166680855047000,0,-100,2,2
1626166680908019000,0,-100,2,2
1626166680960910000,0,-100,2,2
1626166681021446000,0,-100,2,2
1626166681074189000,0,-100,2,2
1626166681133786000,0,-100,2,2
1626166681184851000,0,-100,2,2
1626166681233781000,0,-100,2,2
1626166681287872000,0,-100,2,2
1626166681334443000,0,-100,2,2
1626166681388355000,0,-100,2,2
1626166681436384000,0,-100,2,2
1626166681489860000,0,-100,2,2
1626166681542328000,0,-100,2,2
1626166681594661000,0,-100,2,2
1626166681648239000,0,-100,2,2
1626166681701954000,0,-100,2,2
1626166681750598000,0,-100,2,2
1626166681803068000,0,-100,2,2
1626166681850435000,0,-100,2,2
1626166681907438000,0,-100,2,2
1626166681951820000,0,-100,2,2
1626166682003536000,0,-100,2,2
1626166682054421000,0,-100,2,2
1626166682107534000,0,-100,2,2
1626166682154455000,0,-100,2,2
1626166682210243000,0,-100,2,2
1626166682261406000,0,-100,2,2
1626166682310294000,0,-100,2,2
1626166682368142000,0,-100,2,2
1626166682420468000,0,-100,2,2
1626166682468326000,0,-100,2,2
1626166682521422000,0,-100,2,2
1626166682570922000,0,-100,2,2
1626166682627844000,0,-100,2,2
1626166682682059000,0,-100,2,2
1626166682736436000,0,-100,2,2
1626166682789675000,0,-100,2,2
1626166682842359000,0,-100,2,2
1626166682896635000,0,-100,2,2
1626166682950307000,0,-100,2,2
1626166683010190000,0,-100,2,2
1626166683062997000,0,-100,2,2
1626166683110735000,0,-100,2,2
1626166683162716000,0,-100,2,2
1626166683213916000,0,-100,2,2
1626166683266851000,0,-100,2,2
1626166683313698000,0,-100,2,2
1626166683366718000,0,-100,1,2
1626166683414422000,0,-100,1,2
1626166683467114000,0,-100,1,2
1626166683513813000,0,-100,1,2
1626166683563338000,0,-100,1,2
1626166683610034000,0,-100,1,2
1626166683663149000,0,-100,1,2
1626166683709445000,0,-100,1,2
1626166683761115000,0,-100,1,2
1626166683806512000,0,-100,1,2
1626166683857406000,0,-100,1,2
1626166683909644000,0,-100,1,2
1626166683957133000,0,-100,1,2
1626166684003396000,0,-100,1,2
1626166684056348000,0,-100,1,2
1626166684110317000,0,-100,1,2
1626166684166710000,0,-100,1,2
1626166684222172000,0,-100,1,2
1626166684274665000,0,-100,1,2
1626166684327227000,0,-100,1,2
1626166684374552000,0,-100,2,2
1626166684426986000,0,-100,2,2
1626166684480214000,0,-100,2,2
1626166684527882000,0,-100,2,2
1626166684581709000,0,-100,2,2
1626166684634054000,0,-100,2,2
1626166684688282000,0,-100,2,2
1626166684740308000,0,-100,2,2
1626166684788262000,0,-100,2,2
1626166684837013000,0,-100,2,2
1626166684891112000,0,-100,2,2
1626166684948039000,0,-100,2,2
1626166685000494000,0,-100,2,2
1626166685047475000,0,-100,2,2
1626166685096320000,0,-100,2,2
1626166685150261000,0,-100,2,2
1626166685203291000,0,-100,2,2
1626166685255300000,0,-100,2,2
1626166685307704000,0,-100,2,2
1626166685355315000,0,-100,2,2
1626166685406864000,0,-100,2,2
1626166685462207000,0,-100,2,2
1626166685513167000,0,-100,2,2
1626166685567429000,0,-100,2,2
1626166685620951000,0,-100,2,2
1626166685670633000,0,-100,2,2
1626166685723281000,0,-100,2,2
1626166685773960000,0,-100,2,2
1626166685827806000,0,-100,2,2
1626166685881181000,0,-100,2,2
1626166685928286000,0,-100,2,2
1626166685973799000,0,-100,2,2
1626166686022859000,0,-100,2,2
1626166686073938000,0,-100,2,2
1626166686123505000,0,-100,2,2
1626166686170582000,0,-100,2,2
1626166686215618000,0,-100,2,2
1626166686269998000,0,-100,2,2
1626166686322257000,0,-100,2,2
1626166686370669000,0,-100,1,2
1626166686423413000,0,-100,1,2
1626166686471017000,0,-100,1,2
1626166686524427000,0,-100,1,2
1626166686575581000,0,-100,1,2
1626166686627755000,0,-100,1,2
1626166686682753000,0,-100,1,2
1626166686734883000,0,-100,1,2
1626166686790748000,0,-100,1,2
1626166686842969000,0,-100,1,2
1626166686894216000,0,-100,1,2
1626166686954411000,0,-100,1,2
1626166686998805000,0,-100,1,2
1626166687054064000,0,-100,1,2
1626166687106083000,0,-100,1,2
1626166687146793000,0,-100,2,2
1626166687205681000,0,-100,2,2
1626166687250364000,0,-100,2,2
1626166687293199000,0,-100,2,2
1626166687349650000,0,-100,2,2
1626166687390309000,0,-100,2,2
1626166687432381000,0,-100,2,2
1626166687489146000,0,-100,2,2
1626166687534936000,0,-100,2,2
1626166687575522000,0,-100,2,2
1626166687634153000,0,-100,2,2
1626166687678000000,0,-100,2,2
1626166687732103000,0,-100,2,2
1626166687782998000,0,-100,2,2
1626166687844350000,0,-100,2,2
1626166687911535000,0,-100,2,2
1626166687969341000,0,-100,2,2
1626166688023536000,0,-100,2,2
1626166688074523000,0,-100,2,2
1626166688123394000,0,-92,2,2
1626166688174669000,0,-100,2,2
1626166688227853000,0,-100,2,2
1626166688279762000,0,-100,2,2
1626166688323154000,0,-100,2,2
1626166688369309000,0,-100,2,2
1626166688422593000,0,-100,2,2
1626166688479307000,0,-100,2,2
1626166688530090000,0,-100,2,2
1626166688588494000,0,-100,2,2
1626166688639861000,0,-100,2,2
1626166688695133000,0,-100,2,2
1626166688748345000,0,-100,2,2
1626166688801875000,0,-100,2,2
1626166688850287000,0,-100,2,2
1626166688901377000,0,-100,2,2
1626166688954441000,0,-100,2,2
1626166689007601000,0,-100,2,2
1626166689059758000,0,-100,2,2
1626166689110194000,0,-100,2,2
1626166689162264000,0,-100,2,2
1626166689216668000,0,-100,2,2
1626166689267296000,0,-100,2,2
1626166689316555000,0,-100,2,2
1626166689370387000,0,-100,2,2
1626166689423251000,0,-100,2,2
1626166689473742000,0,-100,2,2
1626166689528028000,0,-100,2,2
1626166689581102000,0,-100,2,2
1626166689631077000,0,-100,2,2
1626166689689238000,0,-100,2,2
1626166689741678000,0,-100,2,2
1626166689790867000,0,-100,2,2
1626166689847672000,0,-100,2,2
1626166689898393000,0,-100,2,2
1626166689954467000,0,-100,2,2
1626166690007272000,0,-100,2,2
1626166690059642000,0,-100,2,2
1626166690109375000,0,-100,2,2
1626166690162471000,0,-100,2,2
1626166690212852000,0,-100,2,2
1626166690266517000,0,-100,2,2
1626166690313073000,0,-100,2,2
1626166690366269000,0,-100,2,2
1626166690416041000,0,-100,2,2
1626166690468645000,0,-100,2,2
1626166690516280000,0,-100,2,2
1626166690566882000,0,-100,2,2
1626166690612747000,0,-100,2,2
1626166690667321000,0,-100,2,2
1626166690713744000,0,-100,2,2
1626166690769721000,0,-100,2,2
1626166690816149000,0,-100,2,2
1626166690869419000,0,-100,1,2
1626166690922546000,0,-100,2,2
1626166690973593000,0,-100,2,2
1626166691026478000,0,-100,2,2
1626166691073120000,0,-100,2,2
1626166691122776000,0,-100,1,2
1626166691169811000,0,-100,1,2
1626166691216178000,0,-100,1,2
1626166691266266000,0,-100,1,2
1626166691312678000,0,-100,1,2
1626166691366771000,0,-100,1,2
1626166691415847000,0,-100,1,2
1626166691467695000,0,-100,1,2
1626166691516284000,0,-100,1,2
1626166691569992000,0,-100,1,2
1626166691622556000,0,-100,1,2
1626166691674554000,0,-100,1,2
1626166691725695000,0,-100,1,2
1626166691776828000,0,-100,1,2
1626166691826743000,0,-100,1,2
1626166691875728000,0,-100,1,2
1626166691926451000,0,-99,2,2
1626166691972955000,0,-95,2,2
1626166692022717000,0,-93,3,2
1626166692072787000,0,-90,4,2
1626166692123070000,0,-88,4,2
1626166692173024000,0,-87,5,2
1626166692228406000,0,-88,5,3
1626166692275693000,0,-90,6,2
1626166692329034000,0,-93,7,2
1626166692382465000,0,-95,8,2
1626166692428879000,0,-94,10,2
1626166692479433000,0,-94,11,2
1626166692524049000,0,-94,11,2
1626166692575959000,0,-95,12,2
1626166692629113000,0,-96,12,2
1626166692675600000,0,-98,12,1
1626166692726895000,0,-100,11,1
1626166692774116000,0,-102,10,1
1626166692826849000,0,-104,9,1
1626166692881601000,0,-105,7,1
1626166692932187000,0,-106,5,1
1626166692983325000,0,-106,4,1
1626166693033212000,0,-106,2,1
1626166693088965000,0,-105,0,1
1626166693142472000,0,-103,0,1
1626166693190878000,0,-102,-2,1
1626166693247737000,0,-100,-4,1
1626166693293833000,0,-98,-5,1
1626166693343341000,0,-96,-6,1
1626166693390852000,0,-95,-6,1
1626166693442633000,0,-94,-7,1
1626166693490701000,0,-94,-7,1
1626166693547325000,0,-95,-6,2
1626166693601439000,0,-96,-5,2
1626166693650550000,0,-98,-5,2
1626166693703240000,0,-100,-3,2
1626166693750243000,0,-102,-2,2
1626166693807469000,0,-103,0,2
1626166693854202000,0,-105,1,2
1626166693911350000,0,-106,2,1
1626166693963185000,0,-106,4,1
1626166694013985000,0,-106,5,1
1626166694066494000,0,-105,6,1
1626166694119501000,0,-104,7,1
1626166694167059000,0,-102,8,1
1626166694220609000,0,-101,8,1
1626166694270827000,0,-99,8,2
1626166694324115000,0,-97,8,2
1626166694373214000,0,-96,7,2
1626166694427042000,0,-95,7,2
1626166694474152000,0,-95,6,2
1626166694523468000,0,-95,6,2
1626166694573090000,0,-96,5,2
1626166694623107000,0,-98,4,2
1626166694669285000,0,-99,3,2
1626166694723579000,0,-101,3,2
1626166694772863000,0,-102,2,1
1626166694827274000,0,-104,1,1
1626166694872692000,0,-105,1,2
1626166694923547000,0,-105,0,2
1626166694972865000,0,-106,0,2
1626166695023297000,0,-105,0,2
1626166695073530000,0,-104,-1,2
1626166695122612000,0,-103,-1,2
1626166695173205000,0,-102,-1,2
1626166695226699000,0,-100,-1,2
1626166695276084000,0,-99,-1,2
1626166695327430000,0,-97,-1,2
1626166695382597000,0,-96,-1,2
1626166695433238000,0,-96,0,2
1626166695483162000,0,-96,0,2
1626166695528183000,0,-96,1,2
1626166695579664000,0,-97,1,2
1626166695623219000,0,-98,2,2
1626166695673784000,0,-99,4,2
1626166695726504000,0,-101,5,2
1626166695776069000,0,-103,5,2
1626166695826666000,0,-104,6,1
1626166695876113000,0,-105,7,1
1626166695929634000,0,-106,8,1
1626166695976172000,0,-106,8,1
1626166696026235000,0,-105,8,1
1626166696076062000,0,-105,8,1
1626166696129338000,0,-103,8,1
