%time,field.layout.data_offset,field.data0,field.data1,field.data2
1626632671715028580,0,-164,0,2
1626632671766775213,0,-164,0,2
1626632671815034641,0,-164,0,2
1626632671867342123,0,-164,0,2
1626632671911163465,0,-164,0,2
1626632671970988371,0,-164,0,2
1626632672014341348,0,-164,0,2
1626632672063180037,0,-164,0,2
1626632672123346644,0,-164,0,2
1626632672173227272,0,-164,0,2
1626632672219660736,0,-164,0,2
1626632672266778044,0,-164,0,2
1626632672319036826,0,-164,0,2
1626632672367834789,0,-164,0,2
1626632672419099233,0,-164,0,2
1626632672471680441,0,-164,0,2
1626632672515369753,0,-164,0,2
1626632672568216844,0,-164,0,2
1626632672614908760,0,-164,0,2
1626632672667267252,0,-164,0,1
1626632672711028070,0,-164,0,1
1626632672768827047,0,-164,1,0
1626632672813483291,0,-164,0,0
1626632672862746952,0,-164,0,0
1626632672916343588,0,-164,0,0
1626632672965492151,0,-164,1,0
1626632673018087755,0,-164,1,0
1626632673072322882,0,-164,1,0
1626632673120836642,0,-164,1,0
1626632673170958516,0,-164,1,0
1626632673218941549,0,-164,1,0
1626632673266506709,0,-165,1,0
1626632673319109527,0,-165,1,0
1626632673366137866,0,-165,0,0
1626632673418520300,0,-166,0,0
1626632673467823191,0,-166,0,0
1626632673519009029,0,-167,0,1
1626632673566883023,0,-167,0,1
1626632673621053162,0,-167,1,2
1626632673668840810,0,-168,2,2
1626632673717669422,0,-167,4,2
1626632673767460050,0,-167,7,2
1626632673817246511,0,-167,9,2
1626632673864454153,0,-166,10,2
1626632673918479454,0,-166,10,1
1626632673970959330,0,-166,10,1
1626632674019873577,0,-165,10,0
1626632674067894129,0,-165,11,0
1626632674119961367,0,-164,11,1
1626632674166808620,0,-164,11,1
1626632674223434166,0,-165,10,1
1626632674267682301,0,-165,9,2
1626632674317111713,0,-166,8,2
1626632674366334334,0,-167,6,2
1626632674419683324,0,-168,5,2
1626632674466914306,0,-169,4,2
1626632674514132684,0,-170,4,2
1626632674567109976,0,-170,3,2
1626632674622536711,0,-171,3,2
1626632674667790354,0,-171,2,2
1626632674718920381,0,-170,1,3
1626632674768307015,0,-170,1,3
1626632674821557699,0,-168,1,2
1626632674871170311,0,-167,1,2
1626632674928164595,0,-165,1,2
1626632674979020350,0,-164,1,2
1626632675026404268,0,-163,2,2
1626632675078993223,0,-161,2,2
1626632675128222983,0,-160,2,2
1626632675173729335,0,-160,2,2
1626632675220046785,0,-160,2,2
1626632675272964410,0,-160,3,2
1626632675319099744,0,-161,3,2
1626632675366413243,0,-162,3,2
1626632675416138756,0,-163,3,2
1626632675469513272,0,-165,3,2
1626632675520528700,0,-166,4,3
1626632675569041451,0,-167,4,3
1626632675614912364,0,-168,5,2
1626632675661061721,0,-169,6,2
1626632675722194272,0,-169,7,2
1626632675763347694,0,-169,8,2
1626632675814757030,0,-168,8,2
1626632675867667146,0,-167,8,2
1626632675921116530,0,-166,7,2
1626632675970339211,0,-165,5,4
1626632676023140901,0,-163,4,5
1626632676074763896,0,-162,3,6
1626632676126365476,0,-161,2,7
1626632676179271835,0,-161,1,7
1626632676226577185,0,-160,0,6
1626632676278542107,0,-160,0,6
1626632676329166434,0,-161,-1,5
1626632676380264638,0,-162,-1,3
1626632676437505782,0,-163,-1,2
1626632676482474026,0,-164,-1,1
1626632676526219828,0,-165,0,0
1626632676580984655,0,-166,0,0
1626632676626549278,0,-167,0,0
1626632676674802128,0,-168,0,0
1626632676722146999,0,-169,0,1
1626632676772098492,0,-169,0,2
