rosbagTimestamp,layout,dim,data_offset,data
1630056862981132139,,[],0,"[-0.05, -0.09, -0.13, -11.4375, -5.625, 1.3125]"
1630056863029761817,,[],0,"[-0.04, -0.05, -0.11, -11.4375, -5.625, 1.3125]"
1630056863079663656,,[],0,"[-0.01, -0.05, -0.09, -11.5, -5.625, 1.3125]"
1630056863133517449,,[],0,"[-0.06, -0.05, -0.14, -11.5, -5.6875, 1.3125]"
1630056863181011702,,[],0,"[-0.02, -0.06, -0.27, -11.5625, -5.6875, 1.3125]"
1630056863229849278,,[],0,"[-0.13, 0.0, -0.19, -11.5625, -5.6875, 1.3125]"
1630056863282878454,,[],0,"[-0.15, -0.06, -0.15, -11.5, -5.625, 1.375]"
1630056863332254087,,[],0,"[-0.07, -0.07, -0.18, -11.5, -5.5625, 1.3125]"
1630056863385481333,,[],0,"[-0.02, 0.0, -0.13, -11.4375, -5.5625, 1.3125]"
1630056863436171803,,[],0,"[-0.01, -0.06, -0.15, -11.4375, -5.5625, 1.25]"
1630056863485347497,,[],0,"[-0.01, -0.04, -0.14, -11.375, -5.5625, 1.25]"
1630056863535987062,,[],0,"[-0.08, -0.05, -0.14, -11.375, -5.5625, 1.25]"
1630056863584729681,,[],0,"[-0.07, -0.01, -0.17, -11.3125, -5.5625, 1.25]"
1630056863637624736,,[],0,"[-0.13, -0.02, -0.17, -11.3125, -5.5625, 1.25]"
1630056863688669976,,[],0,"[0.02, 0.02, -0.17, -11.3125, -5.5, 1.25]"
1630056863738673698,,[],0,"[-0.14, -0.07, -0.23, -11.25, -5.5, 1.25]"
1630056863788434140,,[],0,"[-0.06, -0.01, -0.22, -11.0625, -5.375, 1.25]"
1630056863839851446,,[],0,"[-0.21, -0.04, 0.08, -10.9375, -5.125, 1.1875]"
1630056863889670481,,[],0,"[0.05, -0.01, 0.0, -11.0625, -5.125, 1.125]"
1630056863942358606,,[],0,"[-0.05, -0.04, -0.31, -11.3125, -5.375, 1.125]"
1630056863993274169,,[],0,"[-0.08, -0.06, -0.31, -11.375, -5.5, 1.125]"
