rosbagTimestamp,layout,dim,data_offset,data
1630056939915456335,,[],0,"[0.0, 0.0, -0.05, -4.875, -3.5625, 351.625]"
1630056939966885890,,[],0,"[-0.03, 0.0, -0.15, -4.8125, -3.625, 351.625]"
1630056940014329609,,[],0,"[0.05, -0.01, -0.06, -4.8125, -3.5625, 351.625]"
1630056940061504205,,[],0,"[0.01, 0.03, -0.12, -4.8125, -3.5625, 351.75]"
1630056940110598270,,[],0,"[-0.05, -0.07, -0.13, -4.875, -3.5, 351.875]"
1630056940159972136,,[],0,"[-0.13, -0.04, -0.11, -4.875, -3.4375, 351.9375]"
1630056940207333991,,[],0,"[0.06, 0.12, -0.12, -4.8125, -3.3125, 352.0]"
1630056940256275621,,[],0,"[-0.16, -0.12, -0.12, -4.8125, -3.3125, 352.125]"
1630056940304102215,,[],0,"[-0.06, 0.06, -0.1, -4.75, -3.375, 352.125]"
1630056940356095714,,[],0,"[-0.01, 0.03, -0.26, -4.75, -3.3125, 352.25]"
1630056940401352008,,[],0,"[-0.29, -0.09, 0.0, -4.6875, -3.375, 352.25]"
1630056940447932957,,[],0,"[0.0, 0.08, -0.09, -4.625, -3.375, 352.125]"
1630056940495729550,,[],0,"[-0.11, 0.0, 0.02, -4.625, -3.5, 352.125]"
1630056940544467393,,[],0,"[-0.04, 0.07, -0.04, -4.625, -3.5625, 352.0625]"
1630056940597730228,,[],0,"[0.01, 0.1, 0.0, -4.6875, -3.5, 351.9375]"
1630056940650684958,,[],0,"[0.1, 0.02, 0.0, -4.625, -3.375, 352.0625]"
1630056940701732483,,[],0,"[0.01, -0.12, 0.01, -4.6875, -3.5, 352.375]"
1630056940751086603,,[],0,"[0.04, -0.14, -0.07, -4.875, -3.6875, 352.625]"
1630056940806785871,,[],0,"[0.07, 0.1, -0.26, -4.9375, -3.8125, 352.9375]"
1630056940856180339,,[],0,"[-0.05, 0.0, -0.07, -4.8125, -3.625, 353.25]"
1630056940905753051,,[],0,"[-0.16, -0.01, -0.11, -4.75, -3.5625, 353.5]"
1630056940955369347,,[],0,"[-0.35000000000000003, 0.08, 0.0, -4.875, -3.875, 353.4375]"
1630056941006358200,,[],0,"[-0.14, 0.2, 0.11, -4.9375, -3.9375, 353.3125]"
1630056941057871478,,[],0,"[0.12, 0.22, 0.22, -5.0, -4.0, 353.3125]"
1630056941107977748,,[],0,"[0.12, 0.25, 0.05, -5.3125, -4.3125, 353.375]"
1630056941158053114,,[],0,"[-0.08, 0.04, 0.2, -5.5625, -4.75, 353.5]"
1630056941208661184,,[],0,"[-0.03, 0.11, -0.15, -6.0625, -5.0, 353.75]"
1630056941259854774,,[],0,"[0.0, 0.08, -0.02, -6.5, -5.1875, 353.75]"
1630056941309476873,,[],0,"[-0.04, 0.27, -0.26, -6.75, -5.1875, 353.5625]"
1630056941363191811,,[],0,"[0.27, 0.42, 0.26, -6.5625, -5.0, 353.5625]"
1630056941413652391,,[],0,"[-0.27, 0.0, 0.15, -6.4375, -4.8125, 354.0625]"
1630056941464869324,,[],0,"[-0.13, 0.19, 0.6, -6.25, -4.5625, 354.1875]"
1630056941514335841,,[],0,"[-0.53, -0.24, 0.45, -6.3125, -4.125, 354.5]"
1630056941567089394,,[],0,"[-0.73, -0.31, 0.49, -6.0, -3.0625, 354.75]"
