%time,field.layout.data_offset,field.data0,field.data1,field.data2
1626166676617665000,0,0,0,0
1626166676637233000,0,0,0,0
1626166676657470000,0,0,0,0
1626166676677796000,0,0,0,0
1626166676697535000,0,0,0,0
1626166676717281000,0,0,0,0
1626166676737112000,0,0,0,0
1626166676757354000,0,0,0,0
1626166676778518000,0,0,0,0
1626166676797358000,0,0,0,0
1626166676819041000,0,0,0,0
1626166676837168000,0,0,0,0
1626166676857485000,0,0,0,0
1626166676879349000,0,0,0,0
1626166676897387000,0,0,0,0
1626166676917298000,0,0,0,0
1626166676937162000,0,0,0,0
1626166676957324000,0,0,0,0
1626166676977404000,0,0,0,0
1626166676997282000,0,0,0,0
1626166677017761000,0,0,0,0
1626166677037013000,0,0,0,0
1626166677057249000,0,0,0,0
1626166677077427000,0,0,0,0
1626166677097267000,0,0,0,0
1626166677117434000,0,0,0,0
1626166677138224000,0,0,0,0
1626166677158551000,0,0,0,0
1626166677177115000,0,0,0,0
1626166677197100000,0,0,0,0
1626166677217274000,0,0,0,0
1626166677237089000,0,0,0,0
1626166677257306000,0,0,0,0
1626166677277192000,0,0,0,0
1626166677297326000,0,0,0,0
1626166677317365000,0,0,0,0
1626166677337162000,0,0,0,0
1626166677357362000,0,0,0,0
1626166677379020000,0,0,0,0
1626166677397158000,0,0,0,0
1626166677417366000,0,0,0,0
1626166677437200000,0,0,0,0
1626166677457325000,0,0,0,0
1626166677478459000,0,0,0,0
1626166677497280000,0,0,0,0
1626166677517346000,0,0,0,0
1626166677538332000,0,0,0,0
1626166677557387000,0,0,0,0
1626166677578163000,0,0,0,0
1626166677597737000,0,0,0,0
1626166677617573000,0,0,0,0
1626166677638819000,0,0,0,0
1626166677656815000,0,0,0,0
1626166677676908000,0,0,0,0
1626166677706313000,0,0,0,0
1626166677717360000,0,0,0,0
1626166677737250000,0,0,0,0
1626166677757387000,0,0,0,0
1626166677777346000,0,0,0,0
1626166677800278000,0,0,0,0
1626166677817330000,0,0,0,0
1626166677837522000,0,0,0,0
1626166677857341000,0,0,0,0
1626166677877351000,0,0,0,0
1626166677897098000,0,0,0,0
1626166677917238000,0,0,0,0
1626166677937264000,0,0,0,0
1626166677956954000,0,0,0,0
1626166677977897000,0,0,0,0
1626166677997131000,0,0,0,0
1626166678016840000,0,0,0,0
1626166678036908000,0,0,0,0
1626166678057078000,0,0,0,0
1626166678077212000,0,0,0,0
1626166678097219000,0,0,0,0
1626166678117386000,0,0,0,0
1626166678137491000,0,0,0,0
1626166678157068000,0,0,0,0
1626166678176893000,0,0,0,0
1626166678196823000,0,0,0,0
1626166678216797000,0,0,0,0
1626166678237184000,0,0,0,0
1626166678257258000,0,0,0,0
1626166678277396000,0,0,0,0
1626166678297908000,0,0,0,0
1626166678317325000,0,0,0,0
1626166678337282000,0,0,0,0
1626166678357341000,0,0,0,0
1626166678377129000,0,0,0,0
1626166678397641000,0,0,0,0
1626166678417012000,0,0,0,0
1626166678437354000,0,0,0,0
1626166678459665000,0,0,0,0
1626166678477505000,0,0,0,0
1626166678497374000,0,0,0,0
1626166678518392000,0,0,0,0
1626166678537381000,0,0,0,0
1626166678557679000,0,0,0,0
1626166678577211000,0,0,0,0
1626166678597391000,0,0,0,0
1626166678620782000,0,0,0,0
1626166678637279000,0,0,0,0
1626166678657637000,0,0,0,0
1626166678677396000,0,0,0,0
1626166678697350000,0,0,0,0
1626166678717299000,0,0,0,0
1626166678738336000,0,0,0,0
1626166678757331000,0,0,0,0
1626166678777297000,0,0,0,0
1626166678797699000,0,0,0,0
1626166678817575000,0,0,0,0
1626166678838668000,0,0,0,0
1626166678857344000,0,0,0,0
1626166678877620000,0,0,0,0
1626166678899459000,0,0,0,0
1626166678917340000,0,0,0,0
1626166678938992000,0,0,0,0
1626166678957532000,0,0,0,0
1626166678986181000,0,0,0,0
1626166678997552000,0,0,0,0
1626166679017383000,0,0,0,0
1626166679037253000,0,0,0,0
1626166679057380000,0,0,0,0
1626166679077280000,0,0,0,0
1626166679097544000,0,0,0,0
1626166679117556000,0,0,0,0
1626166679137583000,0,0,0,0
1626166679157373000,0,0,0,0
1626166679177506000,0,0,0,0
1626166679197353000,0,0,0,0
